GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1446418940	2023-01-05 17:04:04.992836	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				2	H 	C2	H 		United States	US	Maine	US-ME	Androscoggin	US-ME-001		14		44070A2NE	Thorncrag Bird Sanctuary, Lewiston	L486265	H	44.1069339	-70.1781964	2022-05-29	06:00:00	obsr1451549	S111660711	Traveling	P22	EBIRD_ATL_ME	45	2.414		1	1		0	1	1		Surprised how under-birded this place is.	Two small crows giving typical nasal 'ah-ah' calls near gate. Would've recorded them if I'd known they were considered rare here.	
URN:CornellLabOfOrnithology:EBIRD:OBS133539412	2015-05-20 22:48:16	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1978-05-18	07:00:00	obsr197345	S9377282	Traveling	P22	EBIRD	90	2.414		2	0		0	1	0		Peter Cannell and I birded Evergreen Cemetery.  I cannot presently locate  a list of all the birds seen that day but we did record  Fish Crow vocalizations which we thought was the first confirmed, documented record for this species in Maine.  Peter Cannell kept the tape and it is no longer extant, sadly.	Dec 2001:  Although the report of a Fish Crow does not seem especially notable in 2011, in 1978 this species was scarce in Maine and had not been confirmed.  Peter Cannell and I recorded a single Fish Crow in the White Pines near the lower pond.  Peter Cannell kept the tape and it is no longer extant.	
URN:CornellLabOfOrnithology:EBIRD:OBS142488848	2015-05-20 22:48:16	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1978-05-18	08:00:00	obsr197345	S10024374	Stationary	P21	EBIRD	60			2	0		0	1	0		Peter Cannell and I were interested in getting recordings of Fish Crow, a species which had not been previously documented in Maine.   We recorded a single Fish Crow.  Peter kept the tape and its present whereabouts are unknown, not that it matters at this point.  Fish Crows are regular in much of coastal southern Maine.	One individual recorded near the lower pond.  This was considered the first documented record for Fish Crow in Maine.	
URN:CornellLabOfOrnithology:EBIRD:OBS170994190	2021-03-24 13:07:12.862393	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		14			Bowdoin Pines	L481111	H	43.9109408	-69.9569893	1985-04-30	09:30:00	obsr197345	S12166212	Traveling	P22	EBIRD	60	0.966		2	1		0	1	0		PDV and Paul Donahue.	none heard calling but nest, found by Jan Pierson, observed approx. 70 feet in White Pine, some 4 feet from the top.	
URN:CornellLabOfOrnithology:EBIRD:OBS170989607	2012-11-26 16:53:33	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				2					United States	US	Maine	US-ME	Cumberland	US-ME-005		14			Brunswick	L191930	T	43.9144800	-69.9652900	1985-04-28	08:15:00	obsr197345	S12165903	Stationary	P21	EBIRD	105			3	1		0	1	0		PDV, JVW, and Denny Abbott.	2, possibly 3, individuals calling repeatedly over Bowdoin Pines.  Typical calls were single sharp "ah" - often repeated at same pitch, "ah,ah, ah, ah."  More than 1 call per second.  Also heard double "ah-uh" call at least three times.  Third vocalization slightly longer than the brief "ah," slurred down "aauh," at end.  This call often repeated.  Two birds appear to be on territory in Bowdoin Pines southeast of RR tracks.  First reported by Paul Donahue.	
URN:CornellLabOfOrnithology:EBIRD:OBS167456256	2012-10-24 11:34:44	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				2					United States	US	Maine	US-ME	Cumberland	US-ME-005		14			Bowdoin Pines	L481111	H	43.9109408	-69.9569893	1985-06-11	13:00:00	obsr197345	S11862046	Stationary	P21	EBIRD	10			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS170332761	2012-11-20 17:11:18	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		14			Bowdoin Pines	L481111	H	43.9109408	-69.9569893	1985-07-16	09:30:00	obsr197345	S12118534	Traveling	P22	EBIRD	60	1.609		2	1		0	1	0		PDV and Charlie Duncan.		
URN:CornellLabOfOrnithology:EBIRD:OBS170326278	2012-11-20 16:10:47	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				2					United States	US	Maine	US-ME	Cumberland	US-ME-005		14			Bowdoin Pines	L481111	H	43.9109408	-69.9569893	1985-07-14		obsr197345	S12118096	Incidental	P20	EBIRD					0		0	1	0			2 - 3 birds calling.	
URN:CornellLabOfOrnithology:EBIRD:OBS875933074	2021-03-19 06:42:17.515987	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery--ponds	L3026348	H	43.6835414	-70.3049469	1986-05-18		obsr639932	S65591583	Historical	P62	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS898934914	2020-04-20 10:54:01	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery--ponds	L3026348	H	43.6835414	-70.3049469	1986-05-18		obsr639932	S67528737	Historical	P62	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS236188321	2021-04-01 06:48:13.817167	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1986-05-25	06:00:00	obsr52135	S17128924	Historical	P62	EBIRD				5	1		0	1	0		I birded Evergreen Cem. and Calvary Cem. (S. Portland), but kept only one list for the morning with no way to tell which birds I saw where.  Also, I have no effort data.  Fish crows at the first site, and the fact that almost all of my time was spent there, were the reasons I picked this hotspot, and I remember running into Peter Vickery and another birder there.	or 2 heard in Evergreen Cem.	
URN:CornellLabOfOrnithology:EBIRD:OBS114578711	2021-04-01 06:48:13.817167	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005	US-ME_3378	14			Brunswick Naval Air Station	L1037005	P	43.9035821	-69.9357033	1986-06-09	08:00:00	obsr197345	S8001847	Traveling	P22	EBIRD	210	4.828			1		0	1	0		field: checked area to the north & west of the runways.--Mustela sp., poss. frenata: 1-observed crossing road.	calling west of runway.	
URN:CornellLabOfOrnithology:EBIRD:OBS105193180	2011-01-09 13:35:24	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				2					United States	US	Maine	US-ME	Cumberland	US-ME-005		14			Brunswick	L191930	T	43.9144800	-69.9652900	1987-04-08		obsr197345	S7395564	Incidental	P20	EBIRD					0		0	1	0		Bowdoin Pines.	1 heard & seen-double note aa-aa heard.	
URN:CornellLabOfOrnithology:EBIRD:OBS371090219	2016-02-05 17:54:44	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				3					United States	US	Maine	US-ME	Cumberland	US-ME-005		14			Bowdoin Pines	L481111	H	43.9109408	-69.9569893	1989-05-08		obsr351820	S27319336	Historical	P62	EBIRD					0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS535641915	2023-01-26 00:49:28.907241	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1991-05-26	08:00:00	obsr52135	S39378247	Traveling	P22	EBIRD	90	0.483		1	1		0	1	0		I birded this morning while we were visiting relatives in S. Portland.	I think this was when they were still fairly new to Maine.  I heard its distinctive voice.	
URN:CornellLabOfOrnithology:EBIRD:OBS102729064	2011-01-02 11:48:27	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005	US-ME_3378	14			Brunswick Naval Air Station	L1037005	P	43.9035821	-69.9357033	1991-07-11	08:00:00	obsr197345	S7212173	Traveling	P22	EBIRD	130	3.219			0		0	1	0		Censused area N & W of airstrip for grassland birds.	calling overhead	
URN:CornellLabOfOrnithology:EBIRD:OBS148447717	2023-01-26 00:49:28.892448	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1992-05-31		obsr296357	S10454546	Incidental	P20	EBIRD					0	G390744	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS76433278	2009-10-29 14:40:37	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		14			Gore Road, Naples	L791081	P	43.9485897	-70.6207019	1992-05-23		obsr130978	S5442505	Incidental	P20	EBIRD_NH					0		0	1	0			-- Called 4 times as it flew in a northerly direction over the house. -- S. Mirick	
URN:CornellLabOfOrnithology:EBIRD:OBS128219516	2023-01-26 00:49:28.876878	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1992-05-31		obsr44050	S8962305	Incidental	P20	EBIRD					0	G390744	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS77232532	2010-01-17 15:40:37	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		14			Bowdoin College--Hyde dorm room	L797786	P	43.9073852	-69.9624074	1993-08-29		obsr34603	S5498386	Incidental	P20	EBIRD				1	0		0	1	0		Entries from yellow notebook where I recorded sightings at Bowdoin College for fall 1993. Many lists were just casual observations, but some had enough time and duration info to submit as complete eBird checklists. 	*rare; heard calling from parking area below; state bird. This was	
URN:CornellLabOfOrnithology:EBIRD:OBS481015658	2023-01-26 00:49:28.593544	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1995-05-13	12:01:00	obsr109779	S35625855	Historical	P62	EBIRD_ME	300			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS104903841	2023-01-26 00:49:28.647777	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1995-05-13	09:00:00	obsr131112	S7376088	Area	P23	EBIRD			2.0234	2	0	G216614	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS104927151	2023-01-26 00:49:28.630851	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1995-05-13	09:00:00	obsr183723	S7377861	Historical	P62	EBIRD			2.0234	2	0	G216614	0	1	0		corrected species count, or location, or new checklist submitted, submitted 10-3-2015		
URN:CornellLabOfOrnithology:EBIRD:OBS481432475	2021-03-19 06:42:17.515987	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1995-05-29	07:30:00	obsr109779	S35655237	Historical	P62	EBIRD_ME	240			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS487445440	2021-03-24 13:07:12.862393	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1996-04-21		obsr109779	S36083144	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS490360379	2018-08-05 11:32:01	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1996-05-18		obsr109779	S36272734	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS100188726	2018-08-06 19:45:22	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1996-05-20	08:30:00	obsr197345	S7017678	Traveling	P22	EBIRD	120	2.414			1		0	1	0		Excellent morning for migrants.		
URN:CornellLabOfOrnithology:EBIRD:OBS504683836	2023-01-26 00:49:28.468774	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1997-04-12		obsr109779	S37151470	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS47987934	2021-03-19 06:42:17.515987	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		14			Bowdoin Pines	L481111	H	43.9109408	-69.9569893	1997-04-26		obsr59381	S3500836	Incidental	P20	EBIRD				2	1	G195373	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99087065	2021-03-19 06:42:17.515987	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		14			Bowdoin Pines	L481111	H	43.9109408	-69.9569893	1997-04-26		obsr34603	S6939662	Incidental	P20	EBIRD				2	1	G195373	0	1	0		Likely with M. Iliff		
URN:CornellLabOfOrnithology:EBIRD:OBS504909993	2018-08-05 11:32:23	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1997-05-17		obsr109779	S37166192	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1329690476	2022-01-29 13:50:15.288058	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1998-05-03		obsr109779	S101655266	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1329688926	2022-01-29 14:02:09.144292	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1998-05-09		obsr109779	S101655194	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1329688971	2022-01-29 14:21:31.211615	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1998-05-12		obsr109779	S101655196	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS99167284	2021-04-01 06:48:13.817167	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005	US-ME_3421	30			Scarborough Marsh	L192298	H	43.5614567	-70.3611791	1998-05-16	15:00:00	obsr211939	S6945031	Traveling	P22	EBIRD	120	8.047		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1329688864	2023-03-17 18:51:52.864159	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1998-05-04		obsr109779	S101655190	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1329689376	2022-01-29 14:03:57.746606	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Capisic Pond	L16919239	P	43.6657090	-70.3073291	1998-05-11		obsr109779	S101655215	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1329689389	2023-03-17 18:46:03.490936	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Capisic Pond	L16919239	P	43.6657090	-70.3073291	1998-05-12		obsr109779	S101655216	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1329689343	2022-01-29 13:45:25.696172	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Capisic Pond	L16919239	P	43.6657090	-70.3073291	1998-05-01		obsr109779	S101655213	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1329689019	2022-01-29 14:24:55.778368	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1998-05-13		obsr109779	S101655197	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1329689549	2022-01-29 15:14:07.859348	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Cape Variety, Cape Elizabeth	L17585267	P	43.5742180	-70.2209380	1998-05-29		obsr109779	S101655237	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS100894252	2015-05-20 22:48:16	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1998-05-04	08:30:00	obsr197345	S7072007	Traveling	P22	EBIRD	120	2.414			1		0	1	0			1-2	
URN:CornellLabOfOrnithology:EBIRD:OBS1329690544	2022-01-29 13:56:45.246526	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Capisic Pond	L16919239	P	43.6657090	-70.3073291	1998-05-08		obsr109779	S101655268	Historical	P62	EBIRD_ME				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1236058507	2021-09-12 22:11:23.031951	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005					Scarborough Marsh--Pine Point	L353732	H	43.5445303	-70.3331662	1998-08-03		obsr640443	S94588283	Historical	P62	EBIRD				2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS287834489	2014-12-30 18:19:02	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Cumberland	US-ME-005	US-ME_3421	30			Scarborough Marsh Audubon Center	L3248753	P	43.5657946	-70.3745180	1998-09-25		obsr296866	S21088302	Historical	P62	EBIRD	120				0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1415518664	2023-01-26 00:49:28.24278	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1999-04-15		obsr109779	S108994360	Historical	P62	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1415518647	2022-05-10 14:29:50.127291	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				X					United States	US	Maine	US-ME	Cumberland	US-ME-005		30			Evergreen Cemetery	L251292	H	43.6818207	-70.3007948	1999-04-07		obsr109779	S108994359	Historical	P62	EBIRD_ME				1	1		0	1	0				
